,month,baseline,expansion,contraction,churn,nrr
0,2024-02,24814.62,23882.78,0.0,0.0,1.9624
1,2024-03,78413.9,51742.9,0.0,0.0,1.6599
2,2024-04,136798.44,7199.87,3039.48,0.0,1.0304
3,2024-05,140958.83,4698.76,0.0,0.0,1.0333
4,2024-06,151805.54,6986.27,4616.56,0.0,1.0156
5,2024-07,157587.84,13545.96,0.0,0.0,1.086
6,2024-08,174522.63,8471.09,0.0,0.0,1.0485
7,2024-09,186527.86,7566.68,5553.0,0.0,1.0108
8,2024-10,190980.55,12410.27,0.0,0.0,1.065
9,2024-11,205833.7,4452.8,5803.77,0.0,0.9934
10,2024-12,209779.81,16033.04,0.0,0.0,1.0764
11,2025-01,226958.6,7064.94,14865.08,0.0,0.9656
12,2025-02,222845.83,6815.8,41912.34,4122.19,0.824
13,2025-03,184777.78,20218.77,23982.53,2701.24,0.965
14,2025-04,182198.1,7186.66,7409.25,3631.64,0.9788
15,2025-05,180528.63,15651.82,4241.06,0.0,1.0632
16,2025-06,193343.64,7056.94,10648.66,1232.88,0.975
17,2025-07,190886.16,9729.45,5374.5,1232.88,1.0164
