vendor,period,invoice_amount,qbo_amount,status,notes
AWS,Jan 2025,987.45,987.45,Matched,Exact match
AWS,Feb 2025,1262.32,1262.32,Matched,Exact match
AWS,Mar 2025,862.18,862.18,Matched,Exact match
AWS,Apr 2025,1050.0,1000.0,Partial,$50.00 short in QBO
AWS,May 2025,945.75,945.75,Matched,Exact match
AWS,Jun 2025,1100.25,1100.25,Matched,Exact match
AWS,Jul 2025,1025.5,1025.5,Matched,Exact match
AWS,Aug 2025,1175.0,1175.0,Matched,Exact match
AWS,Sep 2025,1050.75,1050.75,Matched,Exact match
AWS,Oct 2025,1225.0,1225.0,Matched,Exact match
AWS,Nov 2025,1100.5,1100.5,Matched,Exact match
AWS,Dec 2025,975.0,975.0,Matched,Exact match
Blue Shield of California,Jan 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,Feb 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,Mar 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,Apr 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,May 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,Jun 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,Jul 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,Aug 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,Sep 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,Oct 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,Nov 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,Dec 2025,1200.0,1200.0,Matched,Exact match
Comcast Business,Jan 2025,189.0,189.0,Matched,Exact match
Comcast Business,Feb 2025,189.0,189.0,Matched,Exact match
Comcast Business,Mar 2025,189.0,189.0,Matched,Exact match
Comcast Business,Apr 2025,189.0,189.0,Matched,Exact match
Comcast Business,May 2025,189.0,189.0,Matched,Exact match
Comcast Business,Jun 2025,189.0,189.0,Matched,Exact match
Comcast Business,Jul 2025,189.0,189.0,Matched,Exact match
Comcast Business,Aug 2025,189.0,189.0,Matched,Exact match
Comcast Business,Sep 2025,189.0,189.0,Matched,Exact match
Comcast Business,Oct 2025,189.0,189.0,Matched,Exact match
Comcast Business,Nov 2025,189.0,189.0,Matched,Exact match
Comcast Business,Dec 2025,189.0,189.0,Matched,Exact match
Google Cloud Platform,Jan 2025,312.5,312.5,Matched,Exact match
Google Cloud Platform,Feb 2025,425.0,412.5,Partial,$12.50 short in QBO
Google Cloud Platform,Mar 2025,198.75,198.75,Matched,Exact match
Google Cloud Platform,Apr 2025,287.5,287.5,Matched,Exact match
Google Cloud Platform,May 2025,356.25,356.25,Matched,Exact match
Google Cloud Platform,Jun 2025,401.0,401.0,Matched,Exact match
Google Cloud Platform,Jul 2025,325.0,325.0,Matched,Exact match
Google Cloud Platform,Aug 2025,412.5,412.5,Matched,Exact match
Google Cloud Platform,Sep 2025,298.75,298.75,Matched,Exact match
Google Cloud Platform,Oct 2025,375.0,375.0,Matched,Exact match
Google Cloud Platform,Nov 2025,410.0,410.0,Matched,Exact match
Google Cloud Platform,Dec 2025,340.0,340.0,Matched,Exact match
Microsoft 365,Jan 2025,99.99,99.99,Matched,Exact match
Microsoft 365,Feb 2025,99.99,99.99,Matched,Exact match
Microsoft 365,Mar 2025,99.99,99.99,Matched,Exact match
Microsoft 365,Apr 2025,99.99,99.99,Matched,Exact match
Microsoft 365,May 2025,99.99,99.99,Matched,Exact match
Microsoft 365,Jun 2025,99.99,99.99,Matched,Exact match
Microsoft 365,Jul 2025,99.99,99.99,Matched,Exact match
Microsoft 365,Aug 2025,99.99,99.99,Matched,Exact match
Microsoft 365,Sep 2025,99.99,99.99,Matched,Exact match
Microsoft 365,Oct 2025,99.99,99.99,Matched,Exact match
Microsoft 365,Nov 2025,99.99,99.99,Matched,Exact match
Microsoft 365,Dec 2025,99.99,0.0,Unmatched,No matching QBO entry
Salesforce,Jan 2025,500.0,500.0,Matched,Exact match
Salesforce,Feb 2025,500.0,500.0,Matched,Exact match
Salesforce,Mar 2025,500.0,500.0,Matched,Exact match
Salesforce,Apr 2025,500.0,500.0,Matched,Exact match
Salesforce,May 2025,500.0,500.0,Matched,Exact match
Salesforce,Jun 2025,500.0,500.0,Matched,Exact match
Salesforce,Jul 2025,500.0,500.0,Matched,Exact match
Salesforce,Aug 2025,500.0,500.0,Matched,Exact match
Salesforce,Sep 2025,500.0,500.0,Matched,Exact match
Salesforce,Oct 2025,500.0,500.0,Matched,Exact match
Salesforce,Nov 2025,500.0,500.0,Matched,Exact match
Salesforce,Dec 2025,500.0,500.0,Matched,Exact match
Slack,Jan 2025,150.0,0.0,Unmatched,No matching QBO entry
Slack,Feb 2025,150.0,150.0,Matched,Exact match
Slack,Mar 2025,150.0,150.0,Matched,Exact match
Slack,Apr 2025,175.0,175.0,Matched,Exact match
Slack,May 2025,175.0,175.0,Matched,Exact match
Slack,Jun 2025,175.0,175.0,Matched,Exact match
Slack,Jul 2025,175.0,175.0,Matched,Exact match
Slack,Aug 2025,175.0,175.0,Matched,Exact match
Slack,Sep 2025,175.0,175.0,Matched,Exact match
Slack,Oct 2025,175.0,175.0,Matched,Exact match
Slack,Nov 2025,175.0,175.0,Matched,Exact match
Slack,Dec 2025,150.0,150.0,Matched,Exact match
